"","Confort","Securite","Qualite","Force","Maintien","Puissance","Competition","Muscle","Beaute","Galbant","Silhouette","Douceur","Se_defouler","Energie","Legerete","Technicite","Se_relaxer","Bien_etre","Liberte","Fluidite","Resistance","Inconfort","Repetition","Intensite","Ralentissement","Acceleration","Nouveaute","Endurance","Impact","Recuperation","Tolerance","Decouragement","Perseverance","Objectif","Passivite","Brulure","Fatigue","Transpiration","Rythme","Difficulte","Facilite","Lent","Rapide","Ennuyeux","Regulier","Equilibre","Culpabilite","Challenge","Progression","Accompagnement","Lassitude","Confiance_en_soi","Actif","Stretchcing","Efficacite","Discipline","Muscultation","Cardio","Vital","Depassement","Calme","Serenite","Sexy","Plaisir","Groupe","Partage","Role","Performance","Meilleur","Individualiste","detente","clust"
"etudiant_10","0.11659979939819","0.13064192577733","0.061434302908726","0.41750250752257","0.34754262788365","0.057422266800401","0.094784353059177","0.43054162487462","0.20336008024072","0.16700100300903","0.13490471414243","0.34578736208626","0.14844533600802","0.079739217652959","0.18856569709127","0.1258776328987","0.33199598796389","0.44132397191575","0.046138415245737","0.059929789368104","0.11058174523571","0.19107321965898","0.073721163490471","0.20987963891675","0.19358074222668","0.00025075225677031","0.45987963891675","0.24849548645938","0.1030591775326","0.23094282848546","0.45987963891675","0.18355065195587","0.033099297893681","0.12612838515547","0.28911735205617","0.33976930792377","0.23019057171515","0.012286860581745","0.041123370110331","0.049398194583751","0.33776328986961","0.47617853560682","0.070461384152457","0.16950852557673","0.16524573721163","0.010782347041123","0.24648946840522","0.071715145436309","0.044884653961886","0.81344032096289","0.19734202607824","0.12111334002006","0","0.19533600802407","0.13289869608826","0.034854563691073","0.13891675025075","0.47592778335005","0.65471414242728","0.5641925777332","0.7635406218656","0.10581745235707","0.18630892678034","0.082748244734203","0.08049147442327","0.073721163490471","0.19533600802407","0.041123370110331","0.18731193580742","0.13841524573721","0.13214643931795","1"
"etudiant_11","0","0","0","0","0","0","0","0","0","0","0","0","0.13923846283672","0","0","0","0.1765008035105","-0.22961321426213","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.49035420503827","0","0.53289256440926","0","0","0","0","0","0.6209044813138","0","0","0","0.71629842159719","0","0","0","0","0","0","0","0.82253791909126","0","0","0","0","0","0","0","0","0","1","1"
"etudiant_12","0.23711035603486","0.1245383365342","0.17964248781208","0.054956418968829","0.03353523415571","0.15334613680012","0.14241394592997","0.083616486925691","0.049490323533757","0.1269020534791","0.21302998965874","0.074309351455163","0.038410400354557","0.033387501846654","0.040774117299453","0.1269020534791","0.16043728763481","0.42399172699069","0.10296941941203","0.0096026000886394","0.13399320431378","0.19264293100901","0.90899689762151","0.040774117299453","0.35958044024228","0.071502437583099","0.25867927315704","0.05746786822278","0.076673068400059","0.083764219234747","0.71960407741173","0.23371251292658","0.045501551189245","0.060570246712956","0.67971635396661","0.14197074900281","0.0087162062343034","0.050228985079037","0.035898951100606","0.071945634510267","0","0.11493573644556","0.18200620475698","0.075195745309499","0.25084946077707","0.11079923179199","0.10828778253804","0.052149505096765","0.027921406411582","0.088639385433594","0.044024228098685","0.044467425025853","0.040774117299453","0.13177721967794","0.1628010045797","0.12232235189836","0.055695080514108","0.085241542325306","0.25720195006648","0.079332249963067","0.29915792583838","0.0062047569803516","0.10769685330182","0.26340670704683","0.093662283941498","0.016841483232383","0.092037228541882","0.37021716649431","0.18289259861132","0.37612645885655","0.2158369035308","1"
"etudiant_13","0.020980343283454","0.037370967880564","0.049618812689627","0.060121876799574","0.072936990210319","0.081136599998281","0.090797356184517","0.099564234574162","0.11959913018814","0","0.14321813196731","0","0.17474451425477","0.18381221690288","0","0.21467678582172","0","0.2562335083844","0.26432138344779","0.27455800321452","0.29627751467593","0","0","0.33633871092508","0","0.36252761136944","0.38526992530963","0.39332342045777","0.40975701994895","0.42083594763939","0.43078893310528","0","0.46735197297739","0.46907096874006","0","0","0","0.51933440484069","0.53420371818783","0.54453488272151","0","0","0.59197057079254","0","0.61697336416066","0.62574883752912","0","0.67285791640524","0.68583633441344","0.70186596990038","0","0.72885420337439","0.73980420638263","0.78480751544947","0.80271085631774","0.82388028913509","0.83642895820262","0.84520443157108","0.85327511667684","0.86262645362579","0.87327563237557","0.88779255159136","0","0.92243891118808","0.93161834856077","0.94140802942921","0.95684461137803","0.96499265129311","0.97493704178019","0","1","3"
"etudiant_14","0.030652790917692","0.037511825922422","0.034720908230842","0.028902554399243","0.04077578051088","0.022043519394513","0.022942289498581","0.022989593188269","0.028524124881741","0.023557237464522","0.043661305581835","0.050567644276254","0.06996215704825","0.026631977294229","0.23694418164617","0.08197729422895","0.054399243140965","0.022232734153264","0.023793755912961","0.022327341532639","0.027578051087985","0.084153263954588","0.078949858088931","0.027578051087985","0.052317880794702","0.045789971617786","0.020719016083255","0.019252601702933","0.023557237464522","0.028571428571429","0.025827814569536","0.018353831598865","0.018543046357616","0.015137180700095","0.085856196783349","0.019914853358562","0.027578051087985","0.021428571428571","0.016840113528855","0.10042573320719","0.019914853358562","0.014711447492904","0.016840113528855","0.090255439924314","0.015326395458846","0.01244087038789","0.011258278145695","0.0084200567644276","0.00070955534531694","0.00075685903500473","0.0014664143803217","0","0.00070955534531694","0","0.03003784295175","0.032781456953642","0.1372280037843","0.054399243140965","0.035998107852413","0.014569536423841","0.010690633869442","0.013765373699149","0.035241248817408","0.019157994323557","0.025260170293283","0.042147587511826","0.23079470198676","0.02833491012299","0.034437086092715","0.99153263954588","0.019914853358562","1"
"etudiant_15","0.097517276682877","0.19912976708472","0.076913232659329","0.033273611466598","0.23534681341183","0.17123112362426","0.064499616073714","0.79050422318915","0.28628103404146","0.32582544151523","0.47926798054774","0.11824929613514","0.074865625799846","0.064243665216279","0.10174046583056","0.039416432045047","0.10801126183773","0.045687228052214","0.047734834911697","0.045687228052214","0.10583567954953","0.093422062963911","0.92743793191707","0.068466854363962","0.14525211159457","0.10596365497824","0.15561812132071","0.039544407473765","0.05810084463783","0.11197850012798","0.074737650371129","0.045687228052214","0.091374456104428","0.064371640644996","0.12874328128999","0.078832864090095","0.17852572306117","0.060148451497313","0.027002815459432","0.14525211159457","0.081008446378295","0.15357051446122","0","0.056053237778347","0.12669567443051","0.079600716662401","0.086383414384438","0.051958024059381","0.033273611466598","0.42116713590991","0.14729971845406","0.13488610186844","0.091374456104428","0.089326849244945","0.10583567954953","0.085103660097261","0.035321218326081","0.095597645252112","0.16176094189915","0.04978244177118","0.049910417199898","0.045687228052214","0.037368825185564","0.46275915024315","0.10174046583056","0.10161249040184","0.14320450473509","0.070642436652163","0.10366009726133","0.072690043511646","0.21589454824674","1"
"etudiant_16","0.030906858445887","-0.071092790738467","0.08812489037011","0.10091212068058","0.11124364146641","0.12036484827223","0.12712681985617","0.13668654621996","0.14502718821259","0.18785300824417","0.2006490089458","-0.21771619014208","0.22966146290125","0.24537800385897","0.27128573934397","0.28088931766357","-0.29323802841607","0.30211366426943","0.30998947553061","0.31900543764252","0.3326346255043","0.34529907033854","0.35487633748465","0.36602350464831","-0.37842483774776","0.40665672689002","0.4503683564287","0.45948956323452","0.46633046833889","0.48436239256271","0.49381687423259","0","0.51380459568497","0.52215400806876","0","0.54129977196983","0.55014032625855","0.55778810734959","0.56630415716541","0.56694439572005","0","0","0.60877039115945","0","0.64151903174882","0.66066479564989","0","0.68009121206806","0.6876074372917","0.69471145413085","0","0.71466409401859","0.72119803543238","-0.78088931766357","0.78840554288721","0.79565865637607","0.80516576039291","0.8116558498509","0.82179442203122","0.82840729696545","0.84768461673391","0.86547974039642","0.90305209612349","0.92375021925978","0.92956498859849","0.93599368531837","0.94202771443606","0.94796526925101","0.95423609893001","-0.99353622171549","1","3"
"etudiant_17","0.08924791086351","0.085793871866295","0.077660167130919","0.08","0.087242339832869","0.081671309192201","0.093036211699164","0.079777158774373","0.11532033426184","0.67075208913649","1","0.10206128133705","0.21715877437326","0.072757660167131","0.1449582172702","0.12791086350975","0.1933147632312","0.1133147632312","0.10206128133705","0.12111420612813","0.11309192200557","0","0.15621169916434","0.128356545961","0","0.087465181058496","0.12813370473538","0.091030640668524","0.10451253481894","0.094261838440111","0.1858495821727","0","0.13559888579387","0.12445682451253","0","0.11732590529248","0","0.25793871866295","0.098384401114206","0.085571030640668","0","0","0.087576601671309","0","0.38061281337047","0.087353760445682","0.089136490250696","0.081782729805014","0.19509749303621","0.11520891364902","0.12635097493036","0.12824512534819","0.078105849582173","0.23208913649025","0.10796657381616","0.098272980501393","0.13381615598886","0.087465181058496","0.10406685236769","0.111643454039","0.12980501392758","0.10618384401114","0.12623955431755","0.47598885793872","0.16111420612813","0.083676880222841","0.094707520891365","0.077994428969359","0.080111420612813","0","0.079888579387187","1"
"etudiant_18","0.045316150959428","0.070027614529491","0.19875380584862","0.17099766338597","0.051617928202223","0.044820505558309","0.03483679105006","0.043404375840827","0.027968561920272","0.16611201586065","0.10790908447214","0.049352120654252","0.080436167952984","0","0.014940168519436","0.011541457197479","0.09070310840473","0.010337746937619","0.075762939885294","0.030234369468243","0.036465340225165","0.086242299794661","0.076895843659279","0.12341570487857","0.06259293351271","0.060397932450613","0.040572116405863","0.027543723005027","0.18353041138568","0.069744388585994","0.025844367344049","0.18027331303547","0.14600297387241","0.0090632301918856","0.08156907172697","0.16377540182681","0.042129859095093","0.048927281739007","0.94838207179778","0.60369609856263","0.16292572399632","0.10443956666431","0.038306308857891","0.024923883027685","0.26998513063797","0.07724987608865","0.04276711746796","0.036323727253416","0.028393400835516","0.109112794732","0.053034057919705","0.036677759682787","0.0091340366777597","0.078028747433265","0.060893577851731","0.040572116405863","0.077745521489769","0.028818239750761","0.020887913332861","0.024994689513559","0.065495999433548","0.028676626779013","0.096013594845288","0.036182114281668","0.26531190257027","0.025065495999434","0.03448275862069","0.08397649224669","0.016143878779296","0.098208595907385","0.084826170077179","1"
"etudiant_19","0.077512254901961","0.075980392156863","0.12821691176471","0.1030943627451","0.096200980392157","0.058363970588235","0.090992647058823","0.081035539215686","0.099111519607843","0.15058210784314","0.22778799019608","0.085324754901961","0.13832720588235","0.08624387254902","0.1030943627451","0.10064338235294","0.087775735294118","0.036151960784314","0.041360294117647","0.021446078431373","0.042892156862745","0.028033088235294","0.048100490196078","0.035998774509804","0.11948529411765","0.01531862745098","0.027113970588235","0.025888480392157","0.025888480392157","0.063725490196078","0.03875612745098","0.044117647058823","0.040747549019608","0.026501225490196","0.069546568627451","0.10370710784314","0","0.12821691176471","0.041207107843137","0.014859068627451","0.022977941176471","0.011488970588235","0.067095588235294","0.16773897058824","0.018229166666667","0.038602941176471","0.033700980392157","0.083486519607843","0.041360294117647","0.053615196078431","0.066023284313726","0.053615196078431","0.05438112745098","0.18734681372549","0.93198529411765","0.024816176470588","0.026041666666667","0.013939950980392","0.0064338235294118","0.011488970588235","0.014093137254902","0.021446078431373","0.099877450980392","0.019607843137255","0.073682598039216","0.013939950980392","0.033700980392157","0.046109068627451","0.03140318627451","0.051164215686275","0.043964460784314","1"
